frame,object_name
2,face
95,face
131,face
135,face
198,face
309,face
407,face
479,face
530,face
714,face
874,face
921,face
953,face
1061,face
1233,face
1321,face
1612,face
1733,face
2657,face
2715,face
2780,face
2798,face
2809,face
2956,face
3002,face
3028,face
3395,face
3472,face
3482,face
3492,face
3679,face
3733,face
3755,face
3806,face
3910,face
4105,face
4151,face
4206,face
4219,face
4245,face
4332,face
4362,face
4433,face
4652,face
4667,face
4705,face
4719,face
4795,face
4896,face
4991,face
5110,face
5131,face
5162,face
5239,face
5329,face
5379,face
5481,face
5516,face
5593,face
5690,face
5734,face
5843,face
5853,face
5873,face
5876,face
5884,face
5916,face
5968,face
6010,face
6029,face
6068,face
6072,face
6081,face
6105,face
6160,face
6212,face
6263,face
6279,face
6297,face
6303,face
6306,face
6393,face
6433,face
6457,face
6542,face
6553,face
6568,face
6573,face
6656,face
6696,face
6725,face
6778,face
6790,face
6827,face
6834,face
6840,face
6856,face
6943,face
6996,face
7000,face
7059,face
7077,face
7080,face
7096,face
7163,face
7207,face
7234,face
7238,face
7284,face
7349,face
7393,face
7400,face
7453,face
7458,face
7471,face
7507,face
7515,face
7541,face
7547,face
7557,face
7558,face
7562,face
7565,face
7596,face
7615,face
7635,face
7644,face
7667,face
7680,face
7743,face
7744,face
7749,face
7758,face
7764,face
7789,face
7794,face
7845,face
7860,face
7865,face
7898,face
7924,face
7951,face
7972,face
8009,face
8011,face
8027,face
8031,face
8096,face
8139,face
8146,face
8159,face
8173,face
8193,face
8202,face
8216,face
8226,face
8313,face
8315,face
8334,face
8349,face
8372,face
8389,face
8474,face
8507,face
8527,face
8573,face
8580,face
8663,face
8719,face
8730,face
8743,face
8745,face
8763,face
8846,face
8869,face
8883,face
8893,face
8905,face
8909,face
8930,face
8931,face
8943,face
8956,face
8970,face
8980,face
8998,face
9020,face
9026,face
9053,face
9098,face
9149,face
9162,face
9163,face
9304,face
9305,face
9319,face
9351,face
9355,face
9404,face
9526,face
9532,face
9593,face
9622,face
9667,face
9720,face
9754,face
9759,face
9776,face
9807,face
9877,face
9882,face
9885,face
10079,face
10093,face
10139,face
10155,face
10210,face
10262,face
10293,face
10300,face
10303,face
10328,face
10349,face
10380,face
10462,face
10467,face
10488,face
10566,face
10571,face
10578,face
10587,face
10602,face
10611,face
10623,face
10717,face
10753,face
10775,face
10776,face
10881,face
10892,face
10996,face
11013,face
11057,face
11076,face
11094,face
11108,face
11169,face
11177,face
11202,face
11221,face
11251,face
11295,face
11367,face
11414,face
11427,face
11478,face
11539,face
11543,face
11595,face
11678,face
11688,face
11735,face
11752,face
11754,face
11785,face
11809,face
11842,face
11850,face
11878,face
11945,face
11948,face
11963,face
12047,face
12048,face
12052,face
12057,face
12059,face
12064,face
12081,face
12087,face
12090,face
12113,face
12165,face
12172,face
12192,face
12205,face
12317,face
12383,face
12392,face
12412,face
12421,face
12510,face
12538,face
12648,face
12703,face
12815,face
12837,face
12853,face
12894,face
12898,face
12961,face
13026,face
13125,face
13132,face
13135,face
13139,face
13234,face
13248,face
13277,face
13294,face
13383,face
13447,face
13560,face
13569,face
13590,face
13600,face
13608,face
13613,face
13652,face
13662,face
13682,face
13693,face
13710,face
13734,face
13742,face
13946,face
14080,face
14085,face
14225,face
14242,face
14280,face
14286,face
14337,face
14340,face
14354,face
14419,face
14437,face
14438,face
14443,face
14466,face
14470,face
14497,face
14505,face
14528,face
14537,face
14576,face
14618,face
14631,face
14647,face
14677,face
14689,face
14693,face
14700,face
14742,face
14765,face
14796,face
14802,face
14830,face
14864,face
14869,face
14883,face
14923,face
14947,face
14955,face
14970,face
15002,face
15011,face
15024,face
15039,face
15091,face
15138,face
15152,face
15155,face
15164,face
15172,face
15175,face
15208,face
