frame,object_name
0,car
0,car
0,car
0,car
0,car
0,car
0,car
1,car
1,car
1,car
1,car
1,car
2,car
2,car
2,car
2,car
2,car
3,car
3,car
4,car
5,car
5,person
6,car
6,car
6,car
6,car
7,car
7,car
8,car
8,car
8,car
8,car
8,car
9,car
9,car
9,person
10,car
11,car
11,person
11,car
13,car
13,car
13,car
13,car
14,car
14,car
14,car
14,car
14,car
14,car
14,car
15,car
15,car
15,car
15,car
15,car
15,car
15,car
15,car
15,car
16,car
16,car
17,car
17,car
17,car
17,person
20,car
20,car
20,car
20,car
20,car
20,car
22,car
22,car
22,car
22,car
22,car
22,car
22,car
22,car
23,car
23,car
23,car
24,car
24,car
25,car
25,car
25,car
25,car
25,car
27,car
27,car
27,car
27,car
27,car
27,car
28,car
28,car
28,car
28,car
28,car
29,car
29,car
29,car
29,car
30,car
30,car
30,car
30,car
31,car
31,car
31,car
31,car
31,car
31,car
31,car
31,car
32,car
32,car
32,car
32,car
32,car
32,car
32,car
32,car
32,car
32,car
34,car
34,car
34,car
34,car
34,car
35,car
35,car
35,car
35,car
35,car
36,car
36,person
37,car
37,car
38,car
38,car
38,car
38,car
39,car
39,person
40,car
40,car
40,car
40,car
40,car
40,car
40,car
40,car
40,car
40,car
41,car
41,car
41,car
41,person
42,car
42,car
42,car
42,car
42,car
42,car
43,car
43,car
43,car
44,car
44,car
44,car
44,car
44,car
45,car
45,car
45,car
45,car
45,car
45,car
46,car
46,car
47,car
47,car
47,car
47,car
49,car
49,car
50,car
50,car
50,car
50,car
50,car
50,car
50,car
50,car
50,car
50,car
50,car
51,car
51,car
51,car
51,car
51,car
51,car
51,car
52,car
52,car
52,car
52,car
52,car
53,car
53,car
53,car
54,car
54,car
54,car
54,car
54,car
55,car
56,car
56,car
57,car
57,car
57,car
57,car
58,car
58,person
59,car
59,car
59,car
59,car
59,car
59,car
60,person
60,car
61,car
61,car
61,car
62,car
62,car
62,car
64,car
64,car
64,car
64,car
64,car
64,car
64,car
64,car
64,car
64,car
65,car
65,car
66,car
66,car
66,car
67,car
67,car
67,car
68,car
68,car
68,car
68,car
68,car
70,person
71,car
71,person
72,car
73,car
73,car
73,car
73,car
73,car
74,car
74,car
74,car
74,car
74,car
74,car
74,car
74,car
74,car
74,car
74,car
75,car
75,car
75,car
75,car
75,car
75,car
76,car
76,car
76,car
76,car
76,car
76,car
76,car
76,car
77,car
77,car
78,car
79,car
80,car
80,car
81,car
81,car
81,car
81,car
81,car
81,car
81,car
81,car
81,car
81,car
82,car
82,car
82,car
82,car
82,car
84,car
85,car
85,car
85,car
85,car
85,car
85,car
85,car
86,car
86,car
86,car
86,car
86,car
86,car
86,car
86,car
86,car
86,car
86,car
86,car
87,car
88,car
88,car
88,car
89,car
89,car
90,car
90,car
90,car
90,car
90,car
90,car
91,car
91,car
91,car
91,car
91,car
91,car
92,car
92,car
92,car
92,car
92,car
92,car
92,car
