frame,object_name
403,car
403,car
403,car
403,car
403,car
403,car
403,car
286,car
286,car
286,car
286,car
286,car
286,car
286,car
286,car
286,car
286,car
286,car
286,car
286,person
778,car
778,car
778,car
778,car
778,car
778,car
778,person
778,person
778,person
778,car
935,car
935,car
935,car
935,car
935,car
935,car
935,car
935,person
935,car
662,car
662,car
662,car
662,car
662,car
662,car
662,person
662,person
662,car
893,car
893,car
893,car
893,car
893,car
893,car
893,car
893,person
893,car
697,car
697,car
697,car
697,car
697,car
697,car
697,car
697,car
697,car
697,person
285,car
285,car
285,car
285,car
285,car
285,car
285,car
285,car
285,car
285,car
285,car
285,car
285,person
285,car
285,person
51,car
51,car
51,car
51,car
51,car
51,car
51,car
51,car
51,car
51,car
51,car
21,car
21,car
21,car
21,car
21,car
21,car
21,car
21,car
21,car
21,car
21,person
672,car
672,car
672,car
672,car
672,car
672,car
672,person
672,person
722,car
722,car
722,car
722,car
722,car
722,car
722,person
309,car
309,car
309,car
309,car
309,car
309,car
309,car
309,car
309,car
309,car
529,car
529,car
529,car
529,car
529,car
529,person
529,person
529,car
699,car
699,car
699,car
699,car
699,car
699,car
699,car
604,car
604,car
604,car
604,car
604,car
604,person
604,car
604,person
604,car
367,car
367,car
367,car
367,car
367,car
367,car
367,car
367,car
292,car
292,car
292,car
292,car
292,car
292,car
292,car
292,car
292,car
292,car
292,car
292,person
249,car
249,car
249,car
249,car
249,car
249,car
249,car
249,car
249,car
249,car
249,car
249,car
249,person
866,car
866,car
866,car
866,car
866,car
866,car
866,car
411,car
411,car
411,car
411,car
411,car
411,car
411,car
556,car
556,car
556,person
556,car
842,car
842,car
842,car
842,car
842,car
842,car
842,person
842,person
842,person
842,car
842,car
842,car
589,car
589,car
589,car
589,car
589,car
589,person
589,person
589,car
589,person
890,car
890,car
890,car
890,car
890,car
890,car
890,car
890,car
890,person
890,car
883,car
883,car
883,car
883,car
883,car
883,car
883,car
726,car
726,car
726,car
726,person
726,car
726,car
726,car
47,car
47,car
47,car
47,car
47,car
47,car
47,car
47,car
47,car
47,person
47,car
132,car
132,car
132,car
132,car
