frame,object_name
0,car
0,person
0,car
50,car
50,car
50,person
50,car
100,car
100,car
100,person
100,car
150,car
150,person
200,person
250,person
300,person
350,car
400,car
450,car
450,person
500,car
550,car
600,car
650,car
700,car
750,car
800,car
900,person
900,person
950,person
950,person
1000,person
1000,person
1050,person
1150,person
1200,person
1250,person
1300,car
1300,person
1400,car
1400,person
1400,car
1450,car
1450,car
1450,person
1500,car
1500,car
1550,car
1550,car
1550,car
1600,car
1600,person
1600,car
1650,person
1700,car
1750,car
1750,car
1800,car
1850,car
1900,car
1900,person
1950,car
2000,car
2000,car
2050,car
2050,car
2100,car
2100,car
2150,car
2150,car
2200,car
2200,car
2250,car
2250,car
2250,car
2300,car
2300,car
2300,car
2350,car
2350,car
2350,car
2350,car
2400,car
2400,car
2400,car
2450,car
2450,car
2450,car
2500,car
2500,car
2500,car
2500,car
2550,car
2550,car
2550,car
2550,car
2600,car
2600,car
2600,car
2600,car
2600,car
2650,car
2650,car
2650,car
2650,car
2700,car
2700,car
2700,car
2700,person
2700,person
2750,car
2750,car
2750,person
2750,person
2750,car
2800,car
2800,person
2800,car
2800,person
2850,car
2850,person
2850,person
2850,person
2850,car
2900,car
2900,person
2900,person
2950,person
2950,car
3000,car
3000,person
3000,person
3050,person
3050,car
3100,car
3200,person
3350,car
3400,car
3450,car
3500,car
3550,car
3550,car
3600,person
3650,person
3700,person
3700,car
3700,car
3750,person
3800,person
3850,person
3850,car
3850,person
3900,car
3900,person
3900,person
3950,car
3950,person
3950,car
4000,car
4050,car
4100,car
4150,car
4200,car
4200,car
4250,car
4300,car
4350,car
4400,car
4450,car
4750,car
4800,car
4900,car
4900,car
4950,car
4950,car
5000,car
5000,car
5050,car
5050,car
5050,car
5050,car
5100,car
5100,car
5100,car
5100,car
5150,car
5150,car
5150,car
5200,car
5250,car
5250,car
5300,car
5300,car
5350,car
5350,car
5400,car
5400,car
5450,car
5450,car
5500,car
5550,car
5600,car
5700,car
5800,car
5800,car
5850,car
5850,car
5900,car
5900,car
5950,car
5950,car
6000,car
6000,car
6050,car
6050,car
6100,car
6100,car
6150,car
6150,car
6150,car
6200,car
6200,car
6200,car
6250,car
6250,car
6250,car
6250,person
6300,car
6300,car
6300,car
6350,car
6350,car
6400,car
6450,car
6450,car
6500,car
6550,car
6600,car
6600,car
6700,car
6750,car
6800,car
6850,person
6900,car
6950,car
6950,person
7000,person
7000,car
7050,person
7100,person
7200,person
7200,car
7250,person
7300,person
7350,person
7400,person
7450,person
7500,person
7550,person
7600,person
7600,car
7650,person
7650,car
7700,car
7700,person
7750,car
7750,person
7750,car
7800,car
7800,person
7800,car
7850,car
7850,person
7850,car
7900,car
7900,car
7950,car
7950,car
8000,car
8000,car
8050,car
8050,car
8100,car
8100,car
8100,car
8150,car
8150,car
8150,car
8200,car
8300,car
8300,car
8350,car
8350,car
8400,car
8400,car
8450,car
8450,car
8500,car
8500,car
8550,car
8550,car
8600,car
8600,car
8650,car
8700,car
8900,car
8950,car
9000,car
9000,car
9050,car
9050,car
9050,car
9100,car
9100,car
9150,car
9200,car
9450,car
9500,car
9550,car
9600,car
9650,car
9700,car
9750,car
9800,car
9850,car
9900,car
9900,car
9950,car
9950,car
10000,car
10000,car
10050,car
10100,car
10150,car
10250,car
10300,car
10300,person
10350,car
10400,person
10500,person
10550,person
10750,person
10800,car
10850,car
10900,car
10900,car
10950,car
10950,car
11000,car
11050,car
11300,car
11350,car
11350,car
11400,car
11400,car
11450,car
11450,car
11600,car
11750,car
11800,car
11850,car
11900,car
11950,car
12000,car
12050,car
12100,car
12100,car
12150,car
12150,car
12200,car
12200,car
12250,car
12250,car
12300,car
12350,car
12400,car
12450,car
12550,car
12600,car
12650,car
12650,car
12700,car
12750,car
12800,car
12850,car
13600,car
13650,car
13700,car
13800,car
13850,car
13900,car
13950,car
14000,car
14250,car
14300,car
14350,car
14400,car
14450,car
14450,car
14450,car
14500,car
14500,car
14500,car
14550,car
14550,car
14550,car
14600,car
14600,car
14600,car
14650,car
14650,car
14650,car
14700,car
14750,car
14750,person
14800,person
14800,car
14850,car
14850,person
14900,person
14950,person
15000,person
15100,car
15100,person
15150,car
15150,person
15200,car
15200,car
15250,car
15250,car
15300,car
15300,car
15350,car
15350,car
15350,person
15400,car
15400,car
15450,car
15450,car
15450,person
15500,car
15500,car
15500,person
15550,car
15550,car
15600,car
15600,car
15600,car
15650,car
15650,car
15700,car
15700,car
15750,car
15750,car
15800,car
15800,car
15800,car
15850,car
15900,car
15950,car
15950,car
16000,car
16050,car
16100,car
16100,car
16150,car
16200,car
16200,car
16250,car
16300,car
16350,car
16400,car
16450,car
16500,car
16500,car
16550,car
16600,car
16800,car
16850,car
16900,car
17050,car
17100,car
17150,car
17200,person
17250,car
17450,car
17500,car
17500,car
17550,car
17550,car
17600,car
17600,car
17650,car
17650,person
